n_filmes,n_categorias,t_restante,t_execucao,v_filmes
24,7,0,0.608529,4
24,8,0,0.611955,4
24,9,0,0.613603,5
25,1,0,1.217144,1
25,2,0,1.240796,1
25,3,0,1.211756,2
25,4,0,1.209369,3
25,5,0,1.219649,2
25,6,0,1.230036,3
25,7,0,1.223588,3
25,8,0,1.283974,5
25,9,0,1.212276,4
26,1,0,2.455573,0
26,2,0,2.412672,1
26,3,0,2.437182,1
26,4,0,2.415730,2
26,5,0,2.447293,3
26,6,0,2.425824,3
26,7,0,2.433133,4
26,8,0,2.449064,5
26,9,0,2.453844,4
27,1,0,4.918661,0
27,2,0,4.835219,1
27,3,0,4.829417,1
27,4,0,4.873803,1
27,5,0,4.887221,3
27,6,0,4.845527,2
27,7,0,4.897183,3
27,8,0,4.885462,4
27,9,0,4.869143,6
28,1,0,9.982548,0
28,2,0,9.791187,1
28,3,0,9.667595,1
28,4,0,9.968271,1
28,5,0,9.777009,3
28,6,0,13.555298,3
28,7,0,10.353306,4
28,8,0,9.921534,7
28,9,0,9.966416,5
29,1,0,19.991844,0
29,2,0,20.003942,1
29,3,0,19.751308,1
29,4,0,19.754444,1
29,5,0,19.841162,3
29,6,0,19.905388,1
29,7,0,19.955231,2
29,8,0,19.696453,3
29,9,0,19.727070,9
30,1,0,41.922848,1
30,2,0,40.239120,1
30,3,0,40.057552,1
30,4,0,40.447487,2
30,5,0,40.462795,2
30,6,0,40.186237,2
30,7,0,40.763031,3
30,8,0,40.731075,3
30,9,0,41.064335,4
