n_filmes,n_categorias,t_restante,t_execucao,v_filmes
4000,48,24,0.054907,22
4000,49,24,0.051964,23
4000,50,24,0.041029,24
5000,1,24,0.057676,1
5000,2,24,0.076261,4
5000,3,24,0.074702,5
5000,4,24,0.085360,9
5000,5,24,0.133685,16
5000,6,24,0.057217,20
5000,7,24,0.079762,22
5000,8,24,0.093611,13
5000,9,24,0.068698,22
5000,10,24,0.050181,22
5000,11,24,0.073439,21
5000,12,24,0.076418,22
5000,13,24,0.067432,20
5000,14,24,0.077181,24
5000,15,24,0.098601,24
5000,16,24,0.119599,23
5000,17,24,0.052592,24
5000,18,24,0.062851,23
5000,19,24,0.090001,23
5000,20,24,0.064525,20
5000,21,24,0.078010,21
5000,22,24,0.084860,22
5000,23,24,0.071487,20
5000,24,24,0.078379,24
5000,25,24,0.090559,21
5000,26,24,0.065556,21
5000,27,24,0.070068,20
5000,28,24,0.044624,24
5000,29,24,0.092717,21
5000,30,24,0.121926,24
5000,31,24,0.068038,23
5000,32,24,0.064953,21
5000,33,24,0.081581,23
5000,34,24,0.061909,23
5000,35,24,0.047304,20
5000,36,24,0.046790,22
5000,37,24,0.098556,21
5000,38,24,0.094777,24
5000,39,24,0.081816,21
5000,40,24,0.071861,22
5000,41,24,0.076201,22
5000,42,24,0.063235,22
5000,43,24,0.048879,23
5000,44,24,0.051473,23
5000,45,24,0.065491,22
5000,46,24,0.078464,24
5000,47,24,0.073367,23
5000,48,24,0.073689,24
5000,49,24,0.097110,24
5000,50,24,0.062723,23
6000,1,24,0.119606,1
6000,2,24,0.111511,3
6000,3,24,0.137017,5
6000,4,24,0.110323,7
6000,5,24,0.104133,14
6000,6,24,0.072631,12
6000,7,24,0.154923,21
6000,8,24,0.118447,18
6000,9,24,0.094676,13
6000,10,24,0.111945,21
6000,11,24,0.082156,23
6000,12,24,0.128242,24
6000,13,24,0.115603,22
6000,14,24,0.112860,23
6000,15,24,0.176241,20
6000,16,24,0.129009,23
6000,17,24,0.093300,23
6000,18,24,0.077436,23
6000,19,24,0.077757,23
6000,20,24,0.067009,24
6000,21,24,0.079424,23
6000,22,24,0.075979,20
6000,23,24,0.086092,22
6000,24,24,0.080967,21
6000,25,24,0.072627,21
6000,26,24,0.067855,22
6000,27,24,0.121771,22
6000,28,24,0.064755,23
6000,29,24,0.084281,23
6000,30,24,0.105784,24
6000,31,24,0.089045,24
6000,32,24,0.061815,23
6000,33,24,0.092120,21
6000,34,24,0.067477,21
6000,35,24,0.088750,23
6000,36,24,0.103999,24
6000,37,24,0.104643,23
6000,38,24,0.088687,23
6000,39,24,0.058554,23
6000,40,24,0.107025,22
6000,41,24,0.066530,24
6000,42,24,0.090902,23
6000,43,24,0.101860,24
6000,44,24,0.083293,22
6000,45,24,0.116011,24
6000,46,24,0.122910,22
6000,47,24,0.086227,21
6000,48,24,0.065233,24
6000,49,24,0.065141,23
6000,50,24,0.091160,23
7000,1,24,0.100322,1
7000,2,24,0.110534,3
7000,3,24,0.168586,9
7000,4,24,0.107056,13
7000,5,24,0.109940,16
7000,6,24,0.088830,17
7000,7,24,0.111662,19
7000,8,24,0.097575,17
7000,9,24,0.105267,22
7000,10,24,0.164476,21
7000,11,24,0.154346,23
7000,12,24,0.094685,24
7000,13,24,0.104311,24
7000,14,24,0.108794,23
7000,15,24,0.208621,23
7000,16,24,0.260637,21
7000,17,24,0.230255,24
7000,18,24,0.154330,23
7000,19,24,0.119952,23
7000,20,24,0.140772,23
7000,21,24,0.131467,24
7000,22,24,0.134981,24
7000,23,24,0.092137,23
7000,24,24,0.125626,23
7000,25,24,0.120423,22
7000,26,24,0.089077,23
7000,27,24,0.153481,24
7000,28,24,0.147062,22
7000,29,24,0.182953,23
7000,30,24,0.207514,21
7000,31,24,0.155233,23
7000,32,24,0.189552,23
7000,33,24,0.140749,24
7000,34,24,0.166310,22
7000,35,24,0.158918,17
7000,36,24,0.124107,22
7000,37,24,0.144318,23
7000,38,24,0.146902,24
7000,39,24,0.149167,24
7000,40,24,0.141406,22
7000,41,24,0.147703,23
7000,42,24,0.174847,22
7000,43,24,0.166695,24
7000,44,24,0.189020,24
7000,45,24,0.139248,24
7000,46,24,0.094717,21
7000,47,24,0.153505,23
7000,48,24,0.265880,21
7000,49,24,0.125124,24
7000,50,24,0.142664,23
8000,1,24,0.205158,1
8000,2,24,0.197627,3
8000,3,24,0.238914,4
8000,4,24,0.467560,9
8000,5,24,0.241449,14
8000,6,24,0.224576,20
8000,7,24,0.163162,19
8000,8,24,0.263292,24
8000,9,24,0.149282,23
8000,10,24,0.207966,18
8000,11,24,0.175625,22
8000,12,24,0.187892,24
8000,13,24,0.142069,23
8000,14,24,0.106898,22
8000,15,24,0.138141,21
8000,16,24,0.167402,22
8000,17,24,0.137101,23
8000,18,24,0.212839,23
8000,19,24,0.277630,24
8000,20,24,0.207594,23
8000,21,24,0.168759,23
8000,22,24,0.238066,24
8000,23,24,0.196758,21
8000,24,24,0.300641,21
8000,25,24,0.221508,22
8000,26,24,0.443994,22
8000,27,24,0.194367,24
8000,28,24,0.209225,24
8000,29,24,0.314041,23
8000,30,24,0.203062,22
8000,31,24,0.176109,23
8000,32,24,0.228546,21
8000,33,24,0.171419,23
8000,34,24,0.220232,24
8000,35,24,0.139632,24
8000,36,24,0.262912,24
8000,37,24,0.156075,22
8000,38,24,0.170703,23
8000,39,24,0.159393,23
8000,40,24,0.224184,22
8000,41,24,0.227098,22
8000,42,24,0.192499,24
8000,43,24,0.215156,24
8000,44,24,0.165415,24
8000,45,24,0.178553,24
8000,46,24,0.214267,22
8000,47,24,0.162325,23
8000,48,24,0.266134,24
8000,49,24,0.191668,24
8000,50,24,0.154695,23
9000,1,24,0.450026,1
9000,2,24,0.499929,3
9000,3,24,0.247842,7
9000,4,24,0.234812,9
9000,5,24,0.221592,15
9000,6,24,0.205639,15
9000,7,24,0.316898,12
