n_filmes,n_categorias,t_restante,t_execucao,v_filmes
17000,20,24,0.598884,6
17000,20,24,0.938686,4
17000,20,24,0.716592,4
17000,20,24,0.850529,4
17000,20,24,0.655052,3
17000,20,24,0.714033,3
17000,20,24,0.720027,3
18000,20,24,0.928222,24
18000,20,24,0.901250,23
18000,20,24,0.882387,22
18000,20,24,0.917490,18
18000,20,24,1.004187,10
18000,20,24,0.641572,7
18000,20,24,0.679755,4
18000,20,24,0.826383,4
18000,20,24,0.717438,3
18000,20,24,0.610189,3
18000,20,24,0.876585,3
18000,20,24,0.517972,3
19000,20,24,1.234499,24
19000,20,24,1.077542,23
19000,20,24,1.196743,23
19000,20,24,1.175156,21
19000,20,24,0.938470,14
19000,20,24,1.022371,6
19000,20,24,0.759702,4
19000,20,24,0.819566,4
19000,20,24,0.936128,3
19000,20,24,1.181456,3
19000,20,24,1.077712,3
19000,20,24,0.911199,3
20000,20,24,0.975530,23
20000,20,24,1.049646,24
20000,20,24,0.892876,23
20000,20,24,1.253071,22
20000,20,24,0.947523,12
20000,20,24,1.063541,8
20000,20,24,1.085084,5
20000,20,24,1.030933,4
20000,20,24,0.838705,3
20000,20,24,0.975118,3
20000,20,24,1.272689,3
20000,20,24,0.840854,2
21000,20,24,1.166640,21
21000,20,24,1.057388,23
21000,20,24,1.364575,24
21000,20,24,1.495381,23
21000,20,24,1.007551,13
21000,20,24,1.021133,7
21000,20,24,1.221303,4
21000,20,24,1.073864,4
21000,20,24,0.879594,3
21000,20,24,1.347506,3
21000,20,24,1.280090,3
21000,20,24,1.159723,3
22000,20,24,1.216248,23
22000,20,24,1.459308,23
22000,20,24,1.221891,22
22000,20,24,1.756539,24
22000,20,24,1.510588,12
22000,20,24,1.120050,7
22000,20,24,1.014094,4
22000,20,24,1.127248,4
22000,20,24,0.977498,3
22000,20,24,1.357014,3
22000,20,24,1.385822,3
22000,20,24,1.269049,2
23000,20,24,1.359439,24
23000,20,24,1.653273,24
23000,20,24,1.649188,23
23000,20,24,1.566758,24
23000,20,24,1.421581,15
23000,20,24,1.255849,8
23000,20,24,1.234626,4
23000,20,24,1.314602,4
23000,20,24,1.133327,4
23000,20,24,1.504490,3
23000,20,24,1.640971,3
23000,20,24,1.570126,3
24000,20,24,1.744928,24
24000,20,24,1.536696,24
24000,20,24,1.778303,23
24000,20,24,1.577397,22
24000,20,24,1.631724,9
24000,20,24,1.423176,7
24000,20,24,1.467515,5
24000,20,24,1.528191,4
24000,20,24,1.516309,3
24000,20,24,1.560935,3
24000,20,24,1.474598,3
24000,20,24,1.592194,3
25000,20,24,1.999738,23
25000,20,24,1.465424,23
25000,20,24,1.819159,23
25000,20,24,2.206296,22
25000,20,24,1.745666,12
25000,20,24,1.770395,9
25000,20,24,1.539589,4
25000,20,24,1.968871,4
25000,20,24,1.534751,3
25000,20,24,2.166880,3
25000,20,24,1.416486,3
25000,20,24,1.640145,3
26000,20,24,1.959814,23
26000,20,24,2.110321,23
26000,20,24,1.623425,24
26000,20,24,2.319606,20
26000,20,24,1.480473,10
26000,20,24,1.838582,9
26000,20,24,1.469253,5
26000,20,24,1.707543,4
26000,20,24,1.684814,3
26000,20,24,1.981341,3
26000,20,24,1.562129,3
26000,20,24,1.840032,3
27000,20,24,2.210082,24
27000,20,24,2.030837,23
27000,20,24,1.980938,22
27000,20,24,2.428597,24
27000,20,24,1.847328,10
27000,20,24,1.928212,8
27000,20,24,1.855719,5
27000,20,24,1.750259,4
27000,20,24,1.630058,3
27000,20,24,1.926144,3
27000,20,24,1.759309,3
27000,20,24,1.912660,3
28000,20,24,1.901085,24
28000,20,24,1.724136,23
28000,20,24,2.689844,24
28000,20,24,2.036274,22
28000,20,24,2.069825,9
28000,20,24,1.907105,7
28000,20,24,1.917041,4
28000,20,24,1.958134,4
28000,20,24,1.959007,4
28000,20,24,2.073393,4
28000,20,24,2.233016,3
28000,20,24,1.977206,3
29000,20,24,2.231387,24
29000,20,24,2.200056,23
29000,20,24,2.103414,23
29000,20,24,2.204646,23
29000,20,24,1.944626,11
29000,20,24,2.541000,6
29000,20,24,2.024830,5
29000,20,24,2.447384,4
29000,20,24,2.047356,4
29000,20,24,2.089618,3
29000,20,24,2.157774,3
29000,20,24,2.291506,3
30000,20,24,2.244697,24
30000,20,24,2.136826,24
30000,20,24,2.195972,22
30000,20,24,2.885875,24
30000,20,24,2.340760,13
30000,20,24,2.376910,8
30000,20,24,2.554537,4
30000,20,24,2.551522,4
30000,20,24,2.307383,3
30000,20,24,2.332878,3
30000,20,24,1.819873,3
30000,20,24,2.307041,3
31000,20,24,3.101524,24
31000,20,24,2.248768,23
31000,20,24,2.956850,24
31000,20,24,3.080165,23
31000,20,24,2.689115,15
31000,20,24,2.190147,7
31000,20,24,2.145982,5
31000,20,24,2.602193,4
31000,20,24,2.451918,3
31000,20,24,2.377537,4
31000,20,24,2.359421,3
31000,20,24,2.543317,3
32000,20,24,2.824148,24
32000,20,24,2.878833,22
32000,20,24,3.006777,23
32000,20,24,2.901485,19
32000,20,24,2.756186,14
32000,20,24,2.445321,7
32000,20,24,2.605146,4
32000,20,24,2.520193,4
32000,20,24,2.895506,4
32000,20,24,2.648786,3
32000,20,24,3.403297,3
32000,20,24,2.643364,3
33000,20,24,3.117194,24
33000,20,24,2.278697,23
33000,20,24,3.139697,24
33000,20,24,3.156045,24
33000,20,24,2.515126,11
33000,20,24,3.246215,6
33000,20,24,3.031888,5
33000,20,24,2.694427,4
